name,apCost,description,category,extra,role,order
summon the blood,1,"When you regroup (p. 14), you bolster the spirits of your party by reciting a poem. You must recite a poem at the table for your friends. You can write your own or read one from another author, like from a book, movie, or TV show.
<br/><br/>
When completed, your party recovers an additional 3 HP from regrouping.",camaraderie,,FIGHTER,1
valiant soliloquy,2,"You inspire your allies with a rousing speech. You can write your own or borrow one from a play or movie. It can be short; reading a few powerful lines is enough.
<br><br>
You must give the speech at the table. When you complete it, each member of the party gains the option to redo their next roll. This option expires at the end of your scene if it has not been used.",camaraderie,,FIGHTER,2
war story ,0,"Once per game session, you may earn 2 AP by recounting a battle from your past adventures. You can only
<br><br>
use this ability during downtime in the story, like when you regroup or undertake a journey. (You can't spout history during combat.)
<br><br>
You must recount a different conflict each time you use this ability. If there is no battle to recount, you can make one up from your character's past.",camaraderie,,FIGHTER,3
marshal,1,"When you face a serious test of strength, you can organize the help of your allies to overcome it. The whole party must be nearby and able to participate.
<br><br>
Everyone in the party must roll the die. If a majority of players scores a success or better, you are able to overcome the challenge.
<br><br>
You can use this for feats that would be improbable to accomplish alone, like breaking through a reinforced door, lifting a wooden beam off of someone, or winning a tug-of-war contest against a giant. The Guide will decide what is outside of the limits of this ability.",camaraderie,,FIGHTER,4
bond,0,"Choose a member of your party
to form a special partnership with. They must want to form the bond with you. You may only bond with one party member at a time, and the bond cannot be broken until your partner dies or abandons the party.
<ul>
<li> You may now use Intercept (p. 36) for no AP to defend your partner from an attack.</li>
<li> You can now sense when your partner is in danger, even if you are separated.</li>
<li>
You are immune to fear when your partner is at death's door.</li>
<li>
You notice your heart beating stronger when your partner is nearby.</li>
</ul>
",camaraderie,,FIGHTER,5
size up,0,"You evaluate the capabilities of a nearby creature or group of creatures. The Guide will give you useful insight into their capabilities, strength, vulnerabilities, and/or resistances. At a minimum, you will receive an accurate assessment from the Guide about whether they would pose a fair fight.
<br><br>
The Guide will deliver this information to you narratively. For example, they might say ""you notice the giant spider flinching at the sight of your torch,"" rather than telling you it is vulnerable to fire damage.",leadership,,FIGHTER,1
plan,3,"If you have time to prepare before a conflict and you can choose when it begins, you may ambush your enemies and take the first round. Before action begins, each party member must say what they will do during their first turn. The Guide will then resolve these actions simultaneously.",leadership,,FIGHTER,2
recruit,1,"You command a nearby commoner or minion to assist you. (They cannot currently be hostile toward you.) You can have them join a fight or perform other tasks, like watching a door, defending an area, or delivering a message. They will follow your commands to the best of their ability, but they won't follow absurd or suicidal orders.
<br><br>
The Guide plays the part of the NPC. After one day or when they complete the task you give them, the recruit will leave you and return to their business.",leadership,,FIGHTER,3
attendant,7,"While in a populated area,
you may find and recruit an NPC attendant. The Guide will tell you how you find this person and who they are. The attendant will stay with you permanently until you dismiss their service. You may only have one attendant at a time.
<br><br>
The attendant is a Fighter-based minion who is played by the Guide. They have
10 hit points and can use the Counter Attack, Wild Attack, and Provoke abilities. The Guide will create the rest of the attendant's characteristics.
<br><br>
The attendant is your ally and a capable apprentice. (The Guide plays as the attendant like any other NPC, but you may give them orders.) They'll run errands for you, assist you in combat, and follow other orders to the best
of their ability. But they may choose not follow absurd, suicidal, or morally ruinous orders.
<br><br>
This arrangement is based on mutual respect; your attendant follows you to learn what you know. If you betray your attendant, they may abandon you.",leadership,,FIGHTER,4
technique,0,"You are always deadly, even when not holding a weapon. Attacks with your body (like punches and kicks) now hit for 2 HP.",body,,FIGHTER,1
flow,1,"When you roll a 20 on a basic attack, you may briefly enter a state of intense focus. After completing your initial attack, you may immediately make one basic attack on each enemy within reach. These attacks are automatically successful.",body,,FIGHTER,2
yawp,1,"Once per scene, you may make
a show of bravado to frighten nearby creatures. Any common folk nearby will seek shelter, run away, or attempt to appear non-threatening.
<br><br>
20: Half of all minions flee the scene. 
<hr/>
11-19: One minion flees the scene.
<hr/>
6-10: One minion flees the scene, unless their boss is present.
<hr/>
1-5: They laugh at you.",body,ROLL,FIGHTER,3
focus,0,"You pause briefly, closing your eyes and clearing your mind of its reflexive habits. Your restless self fades away as your body becomes your task.
<br><br>
<div> <div class=""ap"">3</div> You immediately use your Flow ability, even if you didn't roll a 20. </div>
<div> <div class=""ap"">4</div>You become wind; until the end of your current fight, minions cannot hit you with basic attacks unless they roll 20. This effect ends if you are hit.</div>
<div> <div class=""ap"">5</div>You purge a poison or illness from your body</div>",body,VARIABLE,FIGHTER,4
defy death,4,"If you would die from an enemy's attack, you may overcome fate to make a last stand. Instead of dying, you stay on your feet but remain at 0 HP. If you also make an appeal to your dream
(p. 28), you recover 1 hit point. You must say something that references your dream — to declare why you now live to die another day.
<br><br>
You laugh at death, but death demands a toll. Each time you use this ability, you increase a supernatural bounty on your head. In quiet moments, you begin to feel as if the shadows are watching you.",body,,FIGHTER,5
limit break,0,"You achieve a transcendent unity of mind and body that allows you to passively channel the magic around you and push yourself beyond your natural limits.
<div> <div class=""ap"">7</div>You single-handedly rout all nearby minions that you can see in a stunning display of martial fury. You may choose to kill or intimidate any number of them. Describe how you clear the scene of these foes.</div>
<div> <div class=""ap"">4</div>You mark an enemy, beginning
a relentless assault on them. You automatically make three successful basic attacks on them. Then, you may continue making basic attacks on them until you roll lower than a success.</div>
<div> <div class=""ap"">3</div>You briefly gain unbelievable strength to perform one task. You
can do things that were previously impossible, like single-handedly lifting a giant boulder, running through a brick wall, or knocking a giant to the ground. You can now do things that were just beyond your reach, but not things that are absurd. (You can't move a mountain or lasso the moon.) The Guide will decide what's possible.</div>",legendary,VARIABLE,FIGHTER,1
champion,0,"Tales of your heroic deeds have spread through the lands, elevating your stature into the stratosphere.
<br><br>
You are now a hero, especially to
those who value power. Authoritarian- minded people are especially vulnerable to your reputation, and most will defer to you in reverence. This includes town guards, bandits, and others who enjoy using force.
<br><br>
You gain the Recruit ability (p. 38)
if you do not already have it, and you may use it for no AP cost on your fans or those who are awestruck by your prestige.
<br><br>
You also gain the Attendant ability (p. 38). It now costs 4 AP to use.",legendary,,FIGHTER,2
steel pact,0,"Choose a weapon you own. You form an extraordinary bond with it that cannot be broken unless the weapon
is destroyed. You now sense which direction your weapon is in and feel a vague sense of how far away it is. If it is beyond your current plane of existence, you sense nothing but a dull feeling of sadness.
<div> <div class=""ap"">0</div>When you roll a failure when using this weapon, you may reroll the die once. You must take the result of the reroll.</div>
<div> <div class=""ap"">0</div>When you roll a 20 on an attack against a minion while using this weapon, you automatically kill it, unless it has immunity against weapon attacks.</div>",legendary,VARIABLE,FIGHTER,3
declare,0,"Once per scene, you may declare
a reason for intervening in a matter, steeling your resolve. The reason should be based on your ideal (p. 26) and
the scene's context. For example, if you believe in order, you might tell highway robbers they're breaking the law. Or
if you believe in honor, you might say there's no honor among thieves.
<br><br>
Choose one result:
<ul>
  <li>You immediately make a successful basic attack on a nearby foe.</li>
  <li>You compel an NPC to explain what they are doing (they may lie to you).</li>
  <li> You convince commoners to leave.</li>
</ul>",invocation,,INVOKER,1
petition,2,"When you regroup (p. 14),
you may close your eyes and calm your body. You recite a short petition and receive a boon.
<br><br>
You must recite a petition at the table that contains all of these parts:
<ul> 
  <li>An address line, like ""in the name of God"" or ""for the love of wisdom.""</li>
<li>A request, like ""I ask for strength.""</li>
<li>An adulation, like ""for I am your
humble servant"" or ""for you are the truth.""</li>
</ul>
When you are finished reciting the petition, all of your hit points are restored.",invocation,,INVOKER,2
invoke,3,"You leave your worldly body behind and create an astral projection of yourself. You must be in a quiet place with no other creatures around to begin the ritual.
<br><br>
While in this trance, you can only vaguely sense if there is danger around your mortal body. You may exit the trance at any time.
<br><br>
Your mind enters a liminal plane of existence. You experience this place like a dreamworld in the stars; it might be a lush paradise in a nebula, an idyllic homestead, or a temple in the fires of creation.
<br><br>
Set a timer. You may speak about anything you like. If you ask any of these questions, the Guide will give you a truthful answer:
<ul>
   <li>Am I on the right path to ____________?</li>
   <li> Is ___________ who they say they are?</li>
   <li> Am I living up to my ideal?</li>
   <li>Have my actions unknowingly caused anyone harm?</li>
   <li>How can I redeem myself?</li>
</ul>",invocation,,INVOKER,3
vow,0,"You create a vow that permanently binds you in service of an ideal. You may only do this once. There is no turning back.
<br><br>
You can express this bond as devotion to a deity, a people, a cause, or something else that represents or is served by your ideal. (You may use an ideal you chose when creating a character, or choose
a new one.) You must be in a safe and quiet place to make the vow, and it must include:
<ul>
   <li> Something you promise to actively do in service of your ideal, like helping the sick.</li>
   <li>A person, place, or group you promise to protect when nearby.</li>
   <li> A wrong from your past that you pledge to make amends for someday.</li>
</ul>
Once the vow is created, you receive these ongoing benefits:
<ul>
    <li>You can now use your Invoke ability once per game session for no AP cost.</li>
   <li> The healing effect of your Petition ability now affects nearby party members in addition to you.</li>
 <li> Your eyes now have a faint glow.</li>
</ul>
You have a sacred obligation to fulfil the promises you have made. Each time you betray the promises of your vow in a serious way, you feel a sharp pain in your heart, and your maximum HP decreases by 1. You cannot be reduced below 5 maximum HP from this effect.",invocation,,INVOKER,4
soul gaze,1,"Your eyes turn black, like shimmering gateways to eternity, as you peer into the eyes of a nearby creature. They become momentarily transfixed on your gaze.
<br><br>
20: You learn the creature's ideal and flaw. You also learn the worst and best thing they have ever done.
<hr/>
11-19: You learn their ideal and flaw.
<hr/>
 6-10: You learn their ideal and flaw, but
one is false.
<hr/>
1-5: They resist your invasion and briefly glimpse your recent thoughts.",inquiries,ROLL,INVOKER,1
impression,1,"You brush against a creature for a fleeting moment, feeling its desires. The Guide chooses and reveals to you something specific that the creature routinely craves. You become cursed to also crave that thing and cannot use Impression again until you fulfill the desire. When you fulfill it once, the curse is lifted.",inquiries,,INVOKER,2
evil eye,1,"You pause, closing your eyes and quieting your mind. You sense the worst thing that ever happened nearby. The Guide will describe to you the type of thing that happened and what the people involved look like.
<br><br>
For example, you might learn that someone was murdered, a curse was created, or an evil vow was taken.",inquiries,,INVOKER,3
shadowseek,3,"You seek the location of a specific creature or object by projecting your consciousness into a shadow plane
(p. 33). You must know what your target looks like.
<br><br>
20: You glimpse the target in real time and can see its nearby surroundings. If it is a creature, you may speak to them for 1 minute. They cannot see you, but they hear you in their mind. If you touch them, they feel a faint sensation, as if a breeze passes through them.
<hr/>
11-19: You glimpse the target in real time, can see its surroundings, and may watch it for the next minute.
<hr/>
6-10: You briefly glimpse the target and can see its surroundings, but you don't know if you're seeing it in the present moment.
<hr/>
2-5: You walk the shadow plane for 1 minute, finding only darkness.
<hr/>
1: You walk in darkness. If you were searching for an enemy, they see you instead, learning your exact location.",inquiries,ROLL,INVOKER,4
inspire,1,"You inspire a nearby NPC by reciting a meaningful statement to them. You may invent a famous quote or proverb, or borrow one from the real world. The creature must be able to hear and understand you, and cannot currently be hostile toward you.
<br><br>
Until the end of the day, the NPC shapes their behavior around their ideal, and cannot fall victim to their flaw.",verdicts,,INVOKER,1
compel truth,1,"Your eyes glow like blue flames as you look into the eyes of a nearby creature and grip their mind.
<br><br>
20: The target is compelled to answer all questions truthfully for the next 5 minutes. You may set a real timer.
<hr/>
11-19: The target is compelled to answer three questions truthfully.
<hr/>
6-10: The target is compelled to answer one question truthfully.
<hr/>
2-5: The target resists your invasion and senses you tried to manipulate them.
<hr>
1: The spell backfires. The target may compel you to answer a question truthfully instead.",verdicts,ROLL,INVOKER,2
forgive,3,"While placing your hand on a creature and telling them they are forgiven, they immediately feel guilt fade from their conscience. You must know a specific act or circumstance that the creature feels guilty for. Your words of forgiveness must be in the form of a Petition (p. 42).
<br><br>
If you use this on a commoner or minion, they will become awestruck as if they have received a blessing from a god. They may begin to follow you as if you are a prophet, and they will not willingly cause you harm.
<br><br>
If you use this on a boss, you will temporarily endear them to you. They will not harm you until the next time you meet, unless you or the party tries to harm them. They cannot be affected by this spell twice.",verdicts,,INVOKER,3
liberate,4,"You place your hand on an NPC, channeling the weight of your devotion and resolve. By speaking a word of power, you alleviate them of a character flaw. (You must already know one of their flaws.) They are effectively cured of the flaw and it no longer affects their behavior.
<br><br>
This also has the effect of your Forgive ability and relieves the creature of any guilt for succumbing to their flaw in the past.",verdicts,,INVOKER,4
fiery avenger ,1,"Choose a phrase to use for this spell.
<br><br>
You speak the phrase of power, igniting your weapon in a magical flame of any color. While the weapon is on fire, it acts as a torch that casts light nearby. The flame increases the weapon's damage by 1. The flame persists until you roll a failure or worse on an attack with the weapon. You may dismiss the flame at any time.",wrath,,INVOKER,1
thunderous word ,2,"Choose a word to use for this spell.
<br><br>
You speak the word of power, releasing a thunderous shockwave in the direction you are facing. The wave knocks up to three creatures backward and hits them each for 2 damage. Creatures affected by the spell are briefly dazed and cannot use special abilities during their next turn.",wrath,,INVOKER,2
lawbringer ,3,"You raise your hand to the sky and summon a spectral warhammer into your grip. The hammer is a one-handed weapon that deals 3 damage. It appears to crackle with blue-green light and leaves a deep, reverberating sound in its wake.",wrath,,INVOKER,3
smite,5,"Speak a word or phrase, condemning a nearby creature that you can see. You engulf the target
in radiant flame, hitting it for 10 HP. If the damage dealt is enough to kill the creature, it explodes into ash, and its body and spirit are permanently obliterated.
<br><br>
If you destroy a creature with Smite, roll the die. On a 2-20, nothing happens. On a 1, the creature's spirit becomes a dark passenger in your mind. You never know when it may decide to speak to you or observe your behavior.",wrath,,INVOKER,4
blazing avenger,6,"You recite a magical statement about your ideal while holding a weapon, imbuing it with incredible power. The weapon gains the following benefits:
<ul>
   <li>It now glows faintly at all times and glows brighter when enemies are nearby.</li>
   <li>When holding the weapon, you may cast Fiery Avenger on it at will for no AP cost.</li>
   <li> When you roll a 20 when making an attack with the weapon, it casts the Smite spell on your target.</li>
</ul>
You can only cast Blazing Avenger on one weapon at a time; casting it again cancels the previous enchantment.",wrath,,INVOKER,5
shield ,1,"You summon a magical shield that appears as an aura of soft light around your body. The shield blocks up to 3 hit points of damage. (Any damage dealt
in excess of 3 HP passes through the shield and hits you.) The shield lasts until it takes 3 or more damage in a single hit.",wards,,INVOKER,1
sigil,2,"You draw a magic sigil on an object. The spell lasts until you cancel it or cast Sigil again. You can only cast the spell if no enemies are currently nearby.
Choose a specific creature for the sigil to affect, or a type of creature, like spirits or werewolves. Then draw a circle on a piece of paper at the table. Draw the creature that will be affected by the spell inside of the circle. Choose one of four effects:

<strong>lure.</strong> The sigil attracts creatures to its location, where they linger for a minute.
<br><br>
<strong>repel.</strong> Creatures who come nearby won't move closer to the sigil or may turn back.
<br><br>
<strong>alert. </strong> Receive a signal in your mind when creatures pass by the sigil.
<br><br>
<strong>message. </strong> The sigil telepathically sends a short message of up to 10 words in your language to creatures passing nearby.
<br><br>
You may keep your drawing and reuse it later when casting this spell again, and you can choose a new effect each time.",wards,,INVOKER,2
rebuke,1,"You utter a righteous word or phrase in the direction of a nearby creature that is approaching you during that creature's turn. (The creature cannot already be within reach.) You release a spectral clone of yourself that rushes them, knocks them back several meters, deals 1 damage, and ends their turn. The clone then disappears.",wards,,INVOKER,3
oblation,3,"You place both hands on a creature, uttering a loving word or phrase. The creature instantly recovers 6 hit points and wakes up if they are unconscious. Or you may choose
to cast this spell with no AP cost by transferring your own hit points to the creature. The creature recovers as many hit points as you are willing to give up.",wards,,INVOKER,4
befizzle,4,"You curse a creature nearby, restricting their use of magic for
the next hour. If they try to cast a spell, they will find it impossible. For example, if the spell is spoken, they forget their lines; if the spell requires hand-waving, they find their arms frozen. If you are casting the spell on a boss, you must concentrate on it to maintain the effect; the spell ends if you move or do something else.",wards,,INVOKER,5
wraith,0,"You become a wraith: a creature between two worlds. Now, whenever you have 0 HP, you may instantly become ethereal. You appear translucent and ghostly while ethereal, but you are still visible to others.
<br><br>
Your ethereal form has a maximum
of 0 HP and cannot be healed. You are immune to all physical (non-magical) harm while in this form. However, harmful magic hits you for double HP while ethereal, and taking damage can still kill you.
<br><br>
You may revert to your normal form at any time during your turn. But you cannot change forms to avoid taking damage immediately after being hit.",legendary,,INVOKER,1
sacrifice,0,"You lay your hands on a creature who has died, bringing it back to life. The creature must still have a corpse that is mostly intact. If the creature died of old age, they receive a new maximum lifespan of the Guide's choice.
<br><br>
The sacrifice withers your soul. Each time you use this ability, you must choose an additional character flaw. Additionally, you permanently lose 2 HP from your maximum hit points.
<br><br>
If you reduce your max HP to 0 by using this ability, you acquire the legendary Wraith ability, and you permanently enter an ethereal form. Using Sacrifice while at 0 maximum HP permanently kills you.",legendary,,INVOKER,2
prophecy,0,"You delve through time to glimpse
an NPC's fate. You may only use this ability once during your entire story, so use it wisely.
<br><br>
The choice you make shapes the story for everyone. The prophecy must come true; the Guide is obligated to honor the fate you have chosen at some point in the story. When and how it emerges is up to the Guide. You may keep your choice a secret from the party.
<br><br>
Choose one of the following things. It will eventually become true, as you have foreseen.
<br><br>
<strong>savior.</strong> The creature will sacrifice their life to try to save someone or something.
<br><br>
<strong>betrayer.</strong> The creature will betray their allies at a pivotal moment in pursuit of a hidden agenda.
<br><br>
<strong>leader.</strong> The creature will acquire a meaningful amount of power and authority over a people or place.
<br><br>
<strong>disgraced.</strong> The creature will do something so morally ruinous that they become widely known for their misdeed.
<br><br>
<strong>paragon.</strong> The creature will do something so morally good that they become widely known for their righteousness.",legendary,,INVOKER,3
eternity gate,7,"You project yourself past all realities and glimpse a place outside time and space – into The Beyond.
<br><br>
Here, you may seek and find a single truth by posing a question to eternity itself. The Guide will give you a fulsome and accurate answer to your question. If you explain why you are asking the question, the Guide will do their best to answer in a way that satisfies what you were trying to discover.
<br><br>
For example, if you asked “Is my friend still alive in another dimension?” the Guide will tell you whether they are alive. If you explain that you asked because you want to reunite with them, the Guide might tell you exactly where they are and how to get there.
<br><br>
You must seek fact. You won't find satisfying answers to questions like ""What is the meaning of life?""
<br><br>
Casting Eternity Gate is a huge risk.
<br><br>
<div class=""roll-list"">
20: You receive your answer and may ask a follow-up question.
<hr/>
11-19: You receive your answer.
<hr/>
6-10: You receive your information and return to your body after one week. Your mind ages by 1 year in the week.
<hr/>
2-5: You fail to receive the information and return to your body after one week. Your mind is wracked from wrong turns in your search. You age by 10 years. Choose an additional character flaw.
<hr/>
1: Your mind is trapped in The Beyond for 100,000 years, where
you experience an endless search through a maze of other realities. After enduring this ordeal in The Beyond, your mortal consciousness fundamentally changes when you return to your body after one week. The ideals and flaws of your previous self have washed away during your incomprehensible exile. Choose a new ideal, a new flaw, and a new dream to reflect deep changes in your character's personality.
<div>
",legendary,ROLL,INVOKER,4
commune ,1,"You use the language of outland folks, gaining the trust of a nearby commoner. You must invent a local saying to exchange with the NPC; it can be something like ""It's raining cats and dogs"" or ""Don't judge a book by its cover."" Explain what it means at the table.
<br><br>
Then, if you ask any of these questions, the NPC will answer to the best of their ability.
<ul>
<li> Is anyone causing trouble?</li>
<li>Where can I find the leader?</li>
<li>What are folks talking about lately?</li>
</ul>",story and song,,RANGER,1
folk song ,2,"You sing a song that kindles strong feelings in NPCs nearby. (The song has no effect on hostile creatures.)
<br><br>
Read or sing the chorus of a song at the table and describe your performance.
You may write your own or use one from another songwriter. Choose a mood to set for your audience:
<br><br>
<strong>bright.</strong> Hearts swell with friendly enthusiasm, sparking joyful conversations.
<br><br>
<strong>somber.</strong> The audience falls silent and begins a sorrowful reflection on their suffering.
<br><br>
<strong>proud.</strong> Zealous feelings are ignited, making the crowd noisy and excitable.",story and song,,RANGER,2
speak myth,3,"You appeal to a local myth to gain the favor of a commoner. You create the myth using four parts: an obligation, a lesson, a subject, and a story.
<br><br>
obligation. Decide how the myth affects your target. Choose one:
<ul>
<li>They offer you and your allies food, shelter, and secrecy in their home.</li>
<li>They offer you the best reasonable trade on an item they are selling.</li>
<li> They go on a small mission, like fetching an item or delivering a message.</li>
<li> They admit to a recent wrongdoing.</li>
<li> They forgive you for a transgression.</li>
<li>They spread a rumor you create.</li>
<li> An obligation of your choice, as long as it does not harm them.</li>
</ul>

<strong>lesson.</strong> Using the obligation, say what the lesson of the myth is, like ""Give refuge to strangers"" or ""Always be a fair dealer.""
<br><br>
<strong>subject.</strong> Name a central person or event.
story. Describe a dramatic situation the person or event is famous for. Perhaps they were a missionary who fed the hungry or it was a great flood that killed many.
<br><br>
Share the myth with your friends at the table. You may reuse a myth you have created without describing it in full.",story and song,,RANGER,3
remedy,1,"You scavenge your area for a short time to find a plant-based remedy for an ailment. You find enough
for a single dose. The remedy cures temporary illness and eliminates",survivalist,,RANGER,1
shroud,3,"You entreat nearby flora to provide the party with protection while camping in wilderness. (There must be plants nearby.) Shrubs and thorny vines will emerge around the campsite to provide concealment. The shroud lasts until you leave the camp.
<br><br>
The shroud conceals the light from
a small campfire. If hostile creatures advance on the party’s campsite, the trees will rustle and howl to provide 5 minutes of early warning. Creatures can pass through the shroud, but they are hit for 1 HP if they push through. When you regroup (p. 14) inside of
the Shroud, your party gains the benefit of a rest.",survivalist,,RANGER,2
signal,4,"While in wilderness, you create
a distress signal that can be seen by other Rangers. Describe how you send your signal: it can be a smoke signal, a message you leave on a tree, or a similar act.
<br><br>
Within the next day, you will meet an NPC Ranger who comes to your aid. Out of respect for you as a colleague, they will stay with you until they
finish helping you with a request. Your request cannot be unlimited, and they will not stay with you forever.
<br><br>
The NPC Ranger has 10 hit points, and comes with equipment of the Guide's choice. You can ask them to do things, but they are an independent character who will ultimately act according to their own interests and ideals.",survivalist,,RANGER,3
ritual,4,"You scavenge your area for a short time to find a single dose of a magic edible. (There must be plants in the area.)
<br><br>
When you ingest the edible, you embark on an inner journey over the next hour for supernatural insight. You may learn the truth about one of the following things:
<ul>
<li>The safest or fastest way to get somewhere.</li>
<li> A place where your Nemesis (p. 54) visited within the past day.</li>
<li>Whether you are in a real place or if your reality is some kind of deception.</li>
<li> Whether an ally is keeping a secret from you. (You learn who they are, but not what the secret is.)</li>
</ul>
If an Invoker invites you along when using their Invoke ability (p. 42),
you may use Ritual to join them on their journey to an astral plane. The same rules of the Invoke ability apply to you when joining the Invoker.",survivalist,,RANGER,4
read the winds,0,"<div> <span class=""ap"">0</span>You concentrate on the language of wind, sensing weather patterns in your region of the world. You are able to glimpse a weather forecast for the next few days in your region of the world.</div>
<div> <span class=""ap"">2</span>If you spend 2 AP on this ability, you may choose the weather that you foresee in your region over the next few days, as long as it is seasonally appropriate. You might choose light rain, a thunderstorm, fog, a heat wave, or any other weather pattern, except for natural disasters like tornadoes or hurricanes.</div>",pathfinder,VAR,RANGER,1
navigate,0,"<div> <span class=""ap"">0</span>You feel the land in your bones. You cannot get lost in wilderness unless magic is inhibiting you.</div>

<div> <span class=""ap"">1</span>
You navigate your party to one of the following areas when traveling in wilderness:
<br><br>
<strong>oasis.</strong> You find a reprieve that has a small amount of nourishment.
<br><br>
<strong>shelter.</strong> You find a natural cave that offers shelter from harsh weather.
<br><br>
<strong>ruins.</strong> You find minor ruins, like an abandoned keep or a withered statue.
<br><br>
<strong>nest.</strong> You find the home of an animal or group of animals, like an otter's den.</div>
",pathfinder,,RANGER,2
delve,2,"You make a sound that travels throughout an underground structure, like a natural cave system or dungeon. (You can clap, make an animal noise, or anything else that might echo.) You sense the general layout of the next three areas connected to yours, plus the layout of any passageways between these areas. The Guide will draw you
a rudimentary map, noting any major features, like columns, bridges, or crevasses.",pathfinder,,RANGER,3
speak with trees,0,"You touch a tree trunk, connecting yourself to the trees of a contiguous forest.
<br><br>
<div> <span class=""ap"">2</span> <strong>seek.</strong> You ask the tree to search the forest. For example, you may ask to locate a specific creature, an object laying somewhere, or a location,
like a cave or building. The tree will commune with its friends and then tell you where it is, how to get there, and how long it will take.</div>
<div> <span class=""ap"">2</span> <strong>warn.</strong> You ask the tree to watch over the party. Until you leave the forest, trees will begin to sway and rustle if you approach a trap or a dangerous creature. The rustling increases as you draw nearer to danger.</div>
",pathfinder,VAR,RANGER,4
track,0,"<div> <span class=""ap"">0</span> When you find tracks, you can instantly identify the type of creature that left them. If it is an animal,
the Guide will share a fact that you know about them, like their habits or personality traits. </div>
<div> <span class=""ap"">1</span> You can pick up on the trail of an animal of your choice even if there are no tracks nearby, as long as it is native to the environment you're currently in. You must choose a type of animal to find, like a boar or a squirrel. (You can't use this to find a specific creature.) You find the creature after a short search.</div>
",hunter,VAR,RANGER,1
farshot,1,"You briefly sharpen your senses, surpassing your normal limits. You can make a ranged attack on a faraway target that you can see, even if it is out of range.",hunter,,RANGER,2
deadeye,0,"<div> <span class=""ap"">0</span> Whenever you roll a 20 with
a ranged weapon, you can name a specific limb on a creature to hit with your projectile. The limb becomes disabled and cannot be used until it is restored by a healer. </div>
<div> <span class=""ap"">3</span>You take aim and focus your senses, automatically scoring a triumph with a ranged weapon on a nearby creature or object that you target. The hit disables the targeted limb. </div>
",hunter,VAR,RANGER,3
